NDFA_patients__n_,NDFA_patients__Age_at_assessment__years_,NDFA_patients_linked_to_NDA__Duration_of_diabetes__years_,Cases_with_SINBAD_Depth_recorded__n_,Cases_with_SINBAD_Neuropathy_recorded__n_,Cases_with_SINBAD_Ischaemia_recorded__n_,Cases_with_SINBAD_Bacterial_Infection_recorded__n_,Cases_with_SINBAD_Site_recorded__n_,Cases_with_SINBAD_Area_recorded__n_,Case_ascertainment__2015_16_____,Case_ascertainment__2016_17_____,Case_ascertainment__2017_18_____,NDFA_patients_linked_to_NDA__Male____,NDFA_patients_linked_to_NDA__Female____,Cases_seen_within_14_days___2_months__n_,Cases_seen_within___2_months__n_
580,67.9,14.4,145,605,220,435,110,350,,,,66.4,32.8,80,15
565,69.3,15.9,60,520,220,255,95,215,,,,68.1,31.9,55,20
715,71,15.7,85,620,320,235,160,325,20.0,67.1,132.9,68.3,30.9,85,20
460,66.1,14.6,95,415,185,260,80,275,,,,76.7,23.3,50,10
980,72,15.7,165,1070,545,405,200,505,,,,68.4,31.6,230,70
1815,66.6,14,280,1730,625,860,350,985,,,,68.9,31.1,205,50
465,67,16.8,115,385,180,210,110,310,,,,69.9,30.1,105,40
850,67.7,15.9,250,850,300,410,175,585,,,,70.6,29.4,300,120
510,64.4,16.6,220,555,215,415,75,355,,,,74.5,25.5,65,25
640,67.5,14.5,155,680,245,485,125,385,,,,67.2,32.8,90,15
890,67.3,13.2,115,735,285,360,155,395,,,,66.3,33.7,85,25
665,69.2,13.8,160,715,340,320,240,400,,,,65.4,34.6,90,85
1455,68.6,15,310,1320,580,605,300,750,,,,67.7,32.6,420,165
345,70.1,15.7,45,420,130,90,55,150,,,,65.2,34.8,55,15
610,72.4,15.4,100,705,365,265,125,300,,,,69.7,30.3,180,55
515,72.9,15.7,90,555,285,245,100,250,14.7,18.2,15.3,70.1,29.9,160,50
525,70.8,16.7,100,490,265,280,115,245,,,,70.5,29.5,270,55
870,66.7,15.4,185,770,410,450,200,440,,,,69.5,30.5,320,45
650,69.8,13.9,155,620,225,420,145,340,,,,68.5,31.5,150,70
1520,67,14.8,315,1600,600,620,320,950,,,,68.8,30.9,215,55
485,64.4,15.7,50,495,150,195,60,305,,,,72.2,27.8,110,75
445,67.3,16.1,105,600,175,305,120,380,,,,71.9,28.1,105,40
340,66.1,14.5,70,350,120,130,80,215,,,,75,25,25,5
880,67.1,16,160,780,380,450,120,495,,,,71.6,28.4,340,110
870,68.6,14.8,210,895,375,365,180,475,,,,67.8,32.2,360,135
340,63.1,17.3,175,375,185,270,75,285,10.0,40.0,51.4,77.3,22.7,25,10
275,70.5,14.2,20,265,140,50,145,90,,,,64.2,35.8,0,0
320,65.7,15.5,40,285,105,95,65,145,7.3,22.7,34.5,79.3,19,20,10
320,65.7,15.5,40,285,105,95,65,145,,,,79.3,19,20,10
310,66.5,16.5,105,290,100,210,65,145,8.0,6.4,11.6,75.4,24.6,95,65
310,66.5,16.5,105,290,100,210,65,145,,,,75.4,24.6,95,65
340,70.8,9.6,110,340,185,210,55,260,42.0,56.0,58.0,69.7,30.3,15,5
340,70.8,9.6,110,340,185,210,55,260,,,,69.7,30.3,15,5
330,64.6,15.6,50,335,175,165,80,180,8.8,12.4,21.8,67.2,32.8,140,10
330,64.6,15.6,50,335,175,165,80,180,,,,67.2,32.8,140,10
310,64.2,16.1,70,290,120,175,45,200,,,,72.6,27.4,115,35
25,70.7,16.4,20,20,20,25,5,25,,,,80,20,0,0
20,61.2,14.6,5,15,5,10,5,10,,,,50,25,5,5
25,76.5,19.1,5,25,15,10,5,10,0.0,0.0,4.5,50,50,5,0
25,76.5,19.1,5,25,15,10,5,10,,,,50,50,5,0
20,78.9,16.2,5,15,10,5,5,10,,,,50,50,0,5
25,65.5,15.9,5,20,10,10,5,15,,,,80,20,10,5
30,65.7,9.3,5,20,5,5,5,10,,,,66.7,33.3,5,0
35,70.3,15.4,15,40,15,20,10,20,,,,71.4,28.6,5,5
300,68,15.2,50,290,110,185,45,140,,,,71.7,28.3,50,20
325,66.4,16.4,110,305,110,220,70,160,,,,73.8,26.2,95,70
325,67.5,15.8,85,315,120,185,80,200,,,,70.8,30.8,90,45
310,67.3,15.7,85,295,90,155,60,215,,,,74.2,25.8,105,120
290,62.2,17,70,300,85,165,55,215,,,,72.4,25.9,40,20
50,68.6,16.9,35,40,40,45,5,45,,,,70,30,5,0
20,65.1,17.7,5,15,10,5,5,5,,,,75,25,10,0
20,59.4,17,5,25,10,10,5,10,,,,75,25,5,10
20,65.7,11.8,5,15,10,10,5,10,,,,50,25,5,5
20,65.4,15.6,5,15,5,5,5,10,,,,50,25,5,0
20,60.7,16.2,5,15,5,5,5,10,0.0,1.4,4.3,100,25,5,5
20,60.7,16.2,5,15,5,5,5,10,,,,100,25,5,5
25,59.2,16.1,5,20,5,10,5,15,,,,80,20,5,5
20,60.8,14.3,5,15,5,15,5,15,,,,50,25,5,5
45,65.3,18.8,15,40,20,30,15,25,,,,100,12.5,5,5
55,69.5,16.7,35,45,40,50,10,45,0.0,0.0,31.4,70,30,0,0
30,73.1,12.1,15,25,10,15,5,25,,,,66.7,16.7,0,0
315,64.2,17.3,145,335,120,250,45,200,2.5,3.8,9.7,73.3,28.3,30,5
335,67.4,15.9,85,320,120,195,75,210,,,,68.7,31.3,95,45
290,67,14.4,55,295,105,105,60,195,,,,75.4,24.6,20,5
290,67,14.4,55,295,105,105,60,195,,,,75.4,24.6,20,5
20,60.2,15.3,0,20,5,5,0,10,,,,75,25,5,0
25,71.8,20,5,25,10,5,10,10,,,,80,20,10,10
30,65.5,17.5,5,15,10,10,5,15,,,,50,33.3,5,5
20,57.7,19.4,5,20,5,10,5,10,,,,75,25,10,5
20,66.8,15.2,5,15,5,10,5,10,,,,75,25,5,0
20,66.2,10.2,5,15,10,10,5,10,,,,75,25,10,5
